#,Lender Name,Done,Website,Contact Name,Linkedin Profile,Contact E-Mail,Contact Phone,Lender Type,CRE - Construction,CRE-Residential,CRE - Land,CRE - Office,CRE - Industrial,CRE - Hotel,CRE - Retail,CRE - Other,Real Estate,Aircraft,Art,Insurance Premium,Yacht,Sports,Fund - LP,Fund - NAV,Fund - GP,Fund - Mgmt Company,Fund - SCF,Other Financing (specify),Senior,Subbordinated,Recourse,Non-recourse,Based In,Geographic Coverage,"Lender Location (City, State, Country)",Note
64,Genesis Global Bank,,https://www.genesisglobalbank.com,Rosa Morgan,https://www.linkedin.com/company/genesisglobalbank,rosa.morgan@genesisglobalbank.com,+1 (770) 842-3621,Global Bank,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,"Frankfurt, Germany",Global,"Frankfurt, Germany",Commercial real estate financing; terms vary based on market conditions
65,Invictus Investment Management,,https://www.invictusinvestmentmanagement.com,Miguel Cooper,https://www.linkedin.com/company/invictusinvestmentmanagement,miguel.cooper@invictusinvestmentmanagement.com,+1 (704) 896-7916,Global Asset Manager,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"New York, NY, USA",Global,"New York, NY, USA","They like asset based lending and have done a lot for UHNI. Pricing is above 500+ but they like a lot aircraft and have done Yatchs, Art, Private Shares. Minimum loan amount $75 million, sweet spot 75 to 300 million. Geographies: US, Europe, Australia & Japan"
66,Jupiter Capital Markets,,https://www.jupitercapitalmarkets.com,Sandra Peterson,https://www.linkedin.com/company/jupitercapitalmarkets,sandra.peterson@jupitercapitalmarkets.com,+1 (919) 810-2040,Global Asset Manager,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Private debt & real estate funds (first-lien real estate debt),1,0,0,1,"Santiago, Chile",International,Chile,"Custom investment mandates, medium/long-term"
67,Northstar Bancorp,,https://www.northstarbancorp.com,Rafael Bailey,https://www.linkedin.com/company/northstarbancorp,rafael.bailey@northstarbancorp.com,+1 (202) 594-7252,Regional Bank,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SBA lending (7a); Fintech sponsor bank,1,0,1,0,Connecticut,Domestic,"Darien & Rowayton, Connecticut, USA","Services: Finances ground-up construction and renovation projects, including condominium developments.                                                                                                                 Projects: Closed a $13.4 million acquisition and construction loan for a condominium building in Brooklyn.                                                                                                         Website:  https://drbank.com/commercial-lending/"
68,Yorkville Finance,,https://www.yorkvillefinance.com,Gloria Reed,https://www.linkedin.com/company/yorkvillefinance,gloria.reed@yorkvillefinance.com,+1 (301) 810-8668,Other Lender,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Danbury, Connecticut, US",Global,"Boca Raton, FL",loan area: Worldwide. loan value range: $5MM - $100MM. estimated book size: $4B. comment: Former GE Capital team
69,Silveroak Financial,,https://www.silveroakfinancial.com,Luis Kelly,https://www.linkedin.com/company/silveroakfinancial,luis.kelly@silveroakfinancial.com,+1 (571) 741-5119,Regional Bank,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Major metropolitan areas; open to office deals in NYC.,Domestic,"Pasadena, CA, USA","-DSCR: Minimum of 1.5x, but calculated favorably: Effective Gross Income = Potential Gross Income – 7% Vacancy. NOI = EGI – Expenses – 4% Management Fee. DSCR based on actual Debt Service, not a debt constant.
-Loan Structure: Amortization: 30 years, Term Options: 3, 5, 7-year fixed, then floating, Balloon: 10-year maturity
Current Rate: 6.75% fixed for initial term, Origination Fee: 0.50%.
-Recourse & Liquidity: For stabilized ES properties, recourse is required, Can be a person or entity of substance. Low liquidity requirement: around 5% in-house, flexible"
70,Harbinger Global Bank,,https://www.harbingerglobalbank.com,Raquel Howard,https://www.linkedin.com/company/harbingerglobalbank,raquel.howard@harbingerglobalbank.com,+1 (469) 766-1188,Global Bank,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Worldwide,Global,"New York, NY","Loan value Range: $20M+, Estimated Loan Book Size: $3,000,000,000.00, Diligence (low 1-5 high)*: 5"
71,Kronos Securities,,https://www.kronossecurities.com,Arturo Ramos,https://www.linkedin.com/company/kronossecurities,arturo.ramos@kronossecurities.com,+1 (972) 896-2876,Global Asset Manager,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,"Mexico, colombia, Brazil",Global,"Greenwich, CT, US","Currency and Jurisdiction: USD, NY Law/ CA. Not applicable to ARC.12.EC.
Minimum Size: 28 to 70M, Term: 3-5 years. Strong Covenants. Interest: Principal + Interest (P + I). LTV 50% on assets inside and outside of the OPC. Returns: Mid-level, including any asset backing (10-11%)."
72,Granite Trust,,https://www.granitetrust.com,Pilar Kim,https://www.linkedin.com/company/granitetrust,pilar.kim@granitetrust.com,+1 (281) 898-9797,Regional Bank,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Major metropolitan areas; open to office deals in NYC.,Domestic,"Pasadena, CA, USA","-DSCR: Minimum of 1.5x, but calculated favorably: Effective Gross Income = Potential Gross Income – 7% Vacancy. NOI = EGI – Expenses – 4% Management Fee. DSCR based on actual Debt Service, not a debt constant.
-Loan Structure: Amortization: 30 years, Term Options: 3, 5, 7-year fixed, then floating, Balloon: 10-year maturity
Current Rate: 6.75% fixed for initial term, Origination Fee: 0.50%.
-Recourse & Liquidity: For stabilized ES properties, recourse is required, Can be a person or entity of substance. Low liquidity requirement: around 5% in-house, flexible"
73,Redwood Savings Bank,,https://www.redwoodsavingsbank.com,Enrique Cox,https://www.linkedin.com/company/redwoodsavingsbank,enrique.cox@redwoodsavingsbank.com,+1 (212) 968-5371,Regional Bank,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,,"New York, NY, USA",
74,Dragonfly Capital,,https://www.dragonflycapital.com,Alicia Ward,https://www.linkedin.com/company/dragonflycapital,alicia.ward@dragonflycapital.com,+1 (310) 987-6573,Private Credit Fund,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"New York, NY, USA",Domestic,"New York, NY","They lend against public policy initiatives that have tax credits: Historical Restoration, Renewal Energy, coming Office to Resi conversion in NY. $2B Aums"
75,Ironwood Credit Union,,https://www.ironwoodcreditunion.com,Fernando Richardson,https://www.linkedin.com/company/ironwoodcreditunion,fernando.richardson@ironwoodcreditunion.com,+1 (305) 314-5808,Regional Bank,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cleveland, OH",,,loan area:NAM. loan value range:$5MM - $ 75MM. estimated book size: $1B. 
76,Eclipse Partners,,https://www.eclipsepartners.com,Beatriz Watson,https://www.linkedin.com/company/eclipsepartners,beatriz.watson@eclipsepartners.com,+1 (312) 645-3591,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private Debt / Structured Financing a empresas medianas (México),1,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"Flexible advisory terms, asset-specific structures"
77,Zenith Capital Management,,https://www.zenithcapitalmanagement.com,Gerardo Brooks,https://www.linkedin.com/company/zenithcapitalmanagement,gerardo.brooks@zenithcapitalmanagement.com,+1 (415) 664-1053,Other Lender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brokerage (equities, fixed income, FX)",0,0,0,0,"Mexico City, Mexico",Domestic,Mexico City,"Traditional brokerage, variable term notes"
78,Sunstone Mortgage Corp,,https://www.sunstonemortgagecorp.com,Veronica Chavez,https://www.linkedin.com/company/sunstonemortgagecorp,veronica.chavez@sunstonemortgagecorp.com,+1 (617) 939-5315,Mortgage Banking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Spain,Domestic,"Santa Cruz de Tenerife, España",They focus in dry Residential Real Estate loans in Spain against luxury properties
79,Arcturus Credit,,https://www.arcturuscredit.com,Hugo Wood,https://www.linkedin.com/company/arcturuscredit,hugo.wood@arcturuscredit.com,+1 (713) 712-3927,Other Lender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Equity, long-term loans, mezzanine; fund investments",1,0,0,0,"Helsinki, Finland",International,"Helsinki, Finland","Long-term impact loans, concessional, up to 15 yrs"
80,Fidelitas Advisors,,https://www.fidelitasadvisors.com,Leticia Bennett,https://www.linkedin.com/company/fidelitasadvisors,leticia.bennett@fidelitasadvisors.com,+1 (214) 719-2743,Private Credit Fund,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,Domestic,"New York, NY, USA","Direct lenders for small properties, loan amount: 1-10M, up to 4 units."
81,Borealis Funding,,https://www.borealisfunding.com,James Gray,https://www.linkedin.com/company/borealisfunding,james.gray@borealisfunding.com,+1 (602) 840-5889,Other Lender,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Worldwide,Global,"Palm Beach, FL","Loan value Range: $1-100M, Estimated Loan Book Size: $500,000,000.00, Diligence (low 1-5 high)*: 4"
82,Cedarpoint Bank,,https://www.cedarpointbank.com,Maria Mendoza,https://www.linkedin.com/company/cedarpointbank,maria.mendoza@cedarpointbank.com,+1 (480) 854-9317,Regional Bank,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida,Domestic,"Miami, FL, USA",They do from ground up construction to stabilization. 
83,Gryphon Asset Management 2,,https://www.gryphonassetmanagement2.com,Carlos Ruiz,https://www.linkedin.com/company/gryphonassetmanagement2,carlos.ruiz@gryphonassetmanagement2.com,+1 (520) 823-4258,Private Credit Fund,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Aircrfat & Marine Lending,0,0,0,0,"Stuart, FL",International,"Stuart, FL",loan area:NAM. loan value range:$500K- $ 50MM. estimated book size: $350MM. 
84,Imperium Global Bank,,https://www.imperiumglobalbank.com,Jennifer Hughes,https://www.linkedin.com/company/imperiumglobalbank,jennifer.hughes@imperiumglobalbank.com,+1 (512) 356-7126,Global Bank,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Worldwide,Global,"Miami, FL, USA","Loan value Range: $10M+, Estimated Loan Book Size: -, Diligence (low 1-5 high)*: 5"
85,Citadel Capital Advisors,,https://www.citadelcapitaladvisors.com,Roberto Price,https://www.linkedin.com/company/citadelcapitaladvisors,roberto.price@citadelcapitaladvisors.com,+1 (646) 980-3646,Other Lender,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago, IL",Global,"Chicago, IL, USA",loan area: Global. loan value range: $5MM - $50MM. estimated book size: $200MM. comment: PE backed firm targeting middle market
86,Halcyon Investments,,https://www.halcyoninvestments.com,Sarah Alvarez,https://www.linkedin.com/company/halcyoninvestments,sarah.alvarez@halcyoninvestments.com,+1 (917) 752-9689,Private Credit Fund,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NY,Domestic,"New York, NY, USA","Services: Specializes in providing capital for condominium construction projects.
Portfolio: Includes financing for projects like 960 Franklin Avenue in Brooklyn.
Website: https://www.g4capitalpartners.com/ourportfolio"
87,Lakeview Bancorp,,https://www.lakeviewbancorp.com,Michael Castillo,https://www.linkedin.com/company/lakeviewbancorp,michael.castillo@lakeviewbancorp.com,+1 (347) 200-6310,Regional Bank,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NY,Domestic,"New York, NY, USA","Specialist in NY metro CRE, including office & retail"
88,Lumina Global Markets,,https://www.luminaglobalmarkets.com,Ana Sanders,https://www.linkedin.com/company/luminaglobalmarkets,ana.sanders@luminaglobalmarkets.com,+1 (786) 700-1319,Global Asset Manager,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NY,Global,"New York, NY, USA",
89,Invictus Capital Group,,https://www.invictuscapitalgroup.com,David Patel,https://www.linkedin.com/company/invictuscapitalgroup,david.patel@invictuscapitalgroup.com,+1 (954) 314-6947,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"London, UK",,,"Alternative lending, short/medium term, fintech-focused"
90,Stonebridge Financial,,https://www.stonebridgefinancial.com,Laura Myers,https://www.linkedin.com/company/stonebridgefinancial,laura.myers@stonebridgefinancial.com,+1 (561) 514-4923,Regional Bank,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Bridge, fix & flip, rental, construction loans.",1,0,1,0,"Sherman Oaks, California",Domestic,"Scottsdale, Arizona",
91,Javelin Global Bank,,https://www.javelinglobalbank.com,Daniel Smith,https://www.linkedin.com/company/javelinglobalbank,daniel.smith@javelinglobalbank.com,+1 (818) 259-4946,Global Bank,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"London, UK",Global,Mexico City,"International loans, variable/fixed, full suite"
92,Dragonfly Investment Group,,https://www.dragonflyinvestmentgroup.com,Patricia Johnson,https://www.linkedin.com/company/dragonflyinvestmentgroup,patricia.johnson@dragonflyinvestmentgroup.com,+1 (323) 780-2290,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bridgeport, CT",,,loan area: US. loan value range: $1MM - $50MM. estimated book size: $750MM. comment: Very competetive strong regional bank
93,Jupiter Credit Partners,,https://www.jupitercreditpartners.com,Richard Martinez,https://www.linkedin.com/company/jupitercreditpartners,richard.martinez@jupitercreditpartners.com,+1 (949) 287-8962,Private Credit Fund,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Private Debt Funds, Factoring, Corporate Lending",1,0,0,0,"Lima, Peru",Domestic,"Lima, Peru","PE investments, tailored IRRs and exits"
94,Kronos Lending,,https://www.kronoslending.com,Monica Garcia,https://www.linkedin.com/company/kronoslending,monica.garcia@kronoslending.com,+1 (858) 270-9727,Private Credit Fund,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Debt & Equity placement; Agency (Fannie Mae, Freddie Mac, FHA/HUD), Bridge, CMBS; Preferred Equity",1,0,0,1,New York,Domestic,"New York, NY, USA","HUD,CMBS,Bridge & Mezzanine, Preferred equity"
95,Foxridge Trust,,https://www.foxridgetrust.com,Thomas Rodriguez,https://www.linkedin.com/company/foxridgetrust,thomas.rodriguez@foxridgetrust.com,+1 (619) 984-3060,Regional Bank,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Dallas, Texas",Domestic,"Dallas, Texas",We were analyzing the construction industrial financing for the Omni investment building.
96,Eclipse Capital,,https://www.eclipsecapital.com,Elena Lopez,https://www.linkedin.com/company/eclipsecapital,elena.lopez@eclipsecapital.com,+1 (503) 331-8787,Other Lender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Investment Holding / Hedge Fund,0,0,0,0,"Mexico City, Mexico",International,Mexico City,
97,Nexus Investment Solutions,,https://www.nexusinvestmentsolutions.com,William Hernandez,https://www.linkedin.com/company/nexusinvestmentsolutions,william.hernandez@nexusinvestmentsolutions.com,+1 (206) 762-3705,Global Asset Manager,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Miami, FL, USA",Global,"Miami, FL, USA","PE & credit, IRR 10–15%, 3–7 years"
98,Mapleton Savings Bank,,https://www.mapletonsavingsbank.com,Sophia Gonzalez,https://www.linkedin.com/company/mapletonsavingsbank,sophia.gonzalez@mapletonsavingsbank.com,+1 (404) 471-9645,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,,,
99,Fidelitas Partners,,https://www.fidelitaspartners.com,Christopher Wilson,https://www.linkedin.com/company/fidelitaspartners,christopher.wilson@fidelitaspartners.com,+1 (678) 821-7932,Other Lender,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Washington, D.C., USA",International,Mexico City,"Development finance, low rates, 5–20 yrs"
100,Lumina Finance,,https://www.luminafinance.com,Isabella Anderson,https://www.linkedin.com/company/luminafinance,isabella.anderson@luminafinance.com,+1 (770) 416-9835,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NY,,"New York, NY, USA","They can do LP financing (40/60 LV), Loan on Loans (for income producing assets), rate: SOFR + above 5%, term: 3 to 6 years"
101,Nexus Capital Management,,https://www.nexuscapitalmanagement.com,Andrew Taylor,https://www.linkedin.com/company/nexuscapitalmanagement,andrew.taylor@nexuscapitalmanagement.com,+1 (704) 973-4295,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Santiago, Chile",,,"Funds, medium-term (5–7 yrs), Latin America focused"
102,Oakmont Credit Union,,https://www.oakmontcreditunion.com,Natalia Thompson,https://www.linkedin.com/company/oakmontcreditunion,natalia.thompson@oakmontcreditunion.com,+1 (919) 930-6107,Regional Bank,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Miami, FL, USA",International,"Miami, FL, USA",
103,Gryphon Advisors,,https://www.gryphonadvisors.com,Matthew Brown,https://www.linkedin.com/company/gryphonadvisors,matthew.brown@gryphonadvisors.com,+1 (202) 608-7118,Other Lender,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,"Washington, D.C., USA",Global,"Washington, D.C","Blended finance, long-term loans, ~5–15 yrs"
104,Olympus Credit,,https://www.olympuscredit.com,Valentina Davis,https://www.linkedin.com/company/olympuscredit,valentina.davis@olympuscredit.com,+1 (301) 648-9479,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida,,,Mezzanine positions in all types of assets
105,Willowbrook Bank,,https://www.willowbrookbank.com,Joshua Miller,https://www.linkedin.com/company/willowbrookbank,joshua.miller@willowbrookbank.com,+1 (571) 662-2982,Regional Bank,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Miami, FL, USA",Domestic,"Miami, FL, USA","Only Miami area. Up to 18mm, 1.25x DSCR. They will look into specialty assets o. Recourse for any one owning more than 20%. She can work with non-residents. Mostly Ecuador or where Banco Pichincha have presence. Recourse. Cashflowing or maybe construction multifamily, some indusitral, retail with strong tenants, stabilized offices in good locations. For a NRA always start with trackrecord and liquidity of the sponsor."
106,Keystone Global Bank,,https://www.keystoneglobalbank.com,Camila Moore,https://www.linkedin.com/company/keystoneglobalbank,camila.moore@keystoneglobalbank.com,+1 (469) 453-4681,Global Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Netherlands,Global,"New York, NY","Loan value Range: $1M+, Estimated Loan Book Size: $1,000,000,000.00, Diligence (low 1-5 high)*: 5"
107,Latitude Global Bank,,https://www.latitudeglobalbank.com,Robert Jackson,https://www.linkedin.com/company/latitudeglobalbank,robert.jackson@latitudeglobalbank.com,+1 (972) 265-6539,Global Bank,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"New York, NY, USA",Global,"Miami, FL, USA",James is the US Head of Commercial Real Estate Finance of HSBC US
108,Halcyon Asset Management,,https://www.halcyonassetmanagement.com,Gabriela Martin,https://www.linkedin.com/company/halcyonassetmanagement,gabriela.martin@halcyonassetmanagement.com,+1 (281) 221-4770,,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Worldwide,Global,Spain,"Loan value Range: $1-10M, Estimated Loan Book Size: $20,000,000.00, Diligence (low 1-5 high)*: 3"
109,Creekside Bancorp,,https://www.creeksidebancorp.com,John Lee,https://www.linkedin.com/company/creeksidebancorp,john.lee@creeksidebancorp.com,+1 (212) 802-4608,Regional Bank,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,Domestic,"New York, NY, USA",Active in NJ/Greater NY/CT/PA/MA/MD/DE/VA regions.
110,Bayshore Financial,,https://www.bayshorefinancial.com,Alejandra Perez,https://www.linkedin.com/company/bayshorefinancial,alejandra.perez@bayshorefinancial.com,+1 (310) 207-2163,Regional Bank,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"New York, NY, USA",Domestic,"New York, NY, USA",Large bank with national CRE platform
111,Invictus Investments,,https://www.invictusinvestments.com,Steven White,https://www.linkedin.com/company/invictusinvestments,steven.white@invictusinvestments.com,+1 (305) 924-1964,Other Lender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amersfoort, Netherlands",,,"Concessional rates, social impact, long-term"
112,Jupiter Capital Group,,https://www.jupitercapitalgroup.com,Victoria Harris,https://www.linkedin.com/company/jupitercapitalgroup,victoria.harris@jupitercapitalgroup.com,+1 (312) 434-2104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,,,"Loan value Range: $100k-$5M, Estimated Loan Book Size: $30,000,000.00, Diligence (low 1-5 high)*: 5"
113,Kronos Credit Partners,,https://www.kronoscreditpartners.com,Mark Clark,https://www.linkedin.com/company/kronoscreditpartners,mark.clark@kronoscreditpartners.com,+1 (415) 232-6413,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Denver, CO",,,
114,Olympus Global Advisors,,https://www.olympusglobaladvisors.com,Andrea Lewis,https://www.linkedin.com/company/olympusglobaladvisors,andrea.lewis@olympusglobaladvisors.com,+1 (617) 272-9423,Global Asset Manager,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,New York,Domestic,"New York, NY, USA",Senior mortgage on Riverbend (Pensam)
115,Lumina Lending,,https://www.luminalending.com,Brian Robinson,https://www.linkedin.com/company/luminalending,brian.robinson@luminalending.com,+1 (713) 443-5562,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,,"New York, NY, USA","Services: Offers new construction loans covering up to 85% of the project cost, with loan amounts ranging from $250,000 to $10 million.                                                              Terms: 12-24 month interest-only periods, fast approvals, and funding.                                                                                                       Website: https://lendingone.com/loans/new-construction/new-york/brooklyn/"
116,Phoenix Funding,,https://www.phoenixfunding.com,Carolina Walker,https://www.linkedin.com/company/phoenixfunding,carolina.walker@phoenixfunding.com,+1 (214) 885-8953,Private Credit Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Miami, FL, USA",,"Miami, FL, USA",Private equity and credit investments; flexible structures
117,Resolute Capital Advisors,,https://www.resolutecapitaladvisors.com,Kevin Young,https://www.linkedin.com/company/resolutecapitaladvisors,kevin.young@resolutecapitaladvisors.com,+1 (602) 419-9834,Private Credit Fund,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"New York, Los Angeles",Domestic,"New York, NY, USA",Has invested in more than $2 billion of equity and development deals
118,Sentry Investment Group,,https://www.sentryinvestmentgroup.com,Paula Allen,https://www.linkedin.com/company/sentryinvestmentgroup,paula.allen@sentryinvestmentgroup.com,+1 (480) 335-8744,Private Credit Fund,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Worldwide,,,"Loan value Range: $500k-100M, Estimated Loan Book Size: -, Diligence (low 1-5 high)*: 4"
119,Phoenix Asset Management,,https://www.phoenixassetmanagement.com,Jason King,https://www.linkedin.com/company/phoenixassetmanagement,jason.king@phoenixassetmanagement.com,+1 (520) 448-8749,Global Asset Manager,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NY,Global,"New York, NY, USA",
120,Titan Capital,,https://www.titancapital.com,Diana Wright,https://www.linkedin.com/company/titancapital,diana.wright@titancapital.com,+1 (512) 616-4119,Private Credit Fund,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Los Angeles, New York, Chicago, and San Francisco",Domestic,Los Angeles,"Loan Size: $20–$400 million
Loan Type: First Mortgage and Mezzanine
Loan Term: 2 to 10+ years
Loan to Value / Loan to Cost: Up to 75% LTV/LTC
DSCR Requirements: Existing DSCR’s below 1.0x are acceptable
Interest Rates / Coupons: Competitive market rates
Loan Fees: Typically 1.00% of the loan amount
Amortization: Interest Only"
121,Prism Assurance,,https://www.prismassurance.com,Ryan Scott,https://www.linkedin.com/company/prismassurance,ryan.scott@prismassurance.com,+1 (646) 296-2588,Insurance Company,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,US and Mexico,Global,Mexico City,"Term 3 to 5 if variable rate, 3 to 10 if fixed rate. Amort up to 30 yrs with I/O period, LTV up to 55%, ticket size us$20M to us$70M. Same criteria for US and Mexico. Current portfolio size in Mexico is $3.2Bn."
122,Ridgewood Trust,,https://www.ridgewoodtrust.com,Lucia Torres,https://www.linkedin.com/company/ridgewoodtrust,lucia.torres@ridgewoodtrust.com,+1 (917) 874-8062,Regional Bank,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NY,Domestic,"New York, NY, USA","They finance CRE in New York and surrounding areas, specifically office properties in Manhattan.They do Real Estate Construction and Real Estate Mezzanine
"
123,Nexus Finance,,https://www.nexusfinance.com,Eric Nguyen,https://www.linkedin.com/company/nexusfinance,eric.nguyen@nexusfinance.com,+1 (347) 562-7939,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chicago, IL, USA",,,
124,Olympus Capital Management,,https://www.olympuscapitalmanagement.com,Marina Hill,https://www.linkedin.com/company/olympuscapitalmanagement,marina.hill@olympuscapitalmanagement.com,+1 (786) 620-8651,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,,,"Loan value Range: $500k-$5M, Estimated Loan Book Size: $10,000,000.00, Diligence (low 1-5 high)*: ?"
125,Phoenix Credit,,https://www.phoenixcredit.com,Patrick Flores,https://www.linkedin.com/company/phoenixcredit,patrick.flores@phoenixcredit.com,+1 (954) 946-1887,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vienna, Austria",,,loan area: Global. loan value range: $1MM - $50MM. estimated book size: $1.5B. comment: Will do Eastern Europe
126,Sunstone Savings Bank,,https://www.sunstonesavingsbank.com,Teresa Green,https://www.linkedin.com/company/sunstonesavingsbank,teresa.green@sunstonesavingsbank.com,+1 (561) 889-2612,Regional Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,,"New York, NY, USA",Conservative in Manhattan with recourse and lower LTV (60–65%). Typical loans $2M–$15M; occasionally $20M+ for strong clients.
127,Resolute Funding,,https://www.resolutefunding.com,George Adams,https://www.linkedin.com/company/resolutefunding,george.adams@resolutefunding.com,+1 (818) 262-7596,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,,"New York, NY, USA","Services: Offers construction loans with interest rates starting at 9.75%, covering up to 90% of the project cost.                                                                             Requirements: Minimum FICO score of 650.                                                                 Website: https://newsilver.com/ground-up/construction-loans-new-york/"
